"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Legislation_type","Geography","Geography_type","Number of stop and searches","Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported)","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","140","10,340","7,952","17.61","1.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","169","13,578","7,952","21.25","1.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","178","14,121","7,952","22.38","1.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","109","9,753","7,952","13.71","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","95","8,357","7,952","11.95","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","25","4,829","7,952","3.14","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","40","4,239","7,952","5.03","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","32","3727","7952","4.02","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","West Mercia","Police Force Area","42","4245","7952","5.28","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","1,599","25,364","185,271","8.63","6.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","1,667","27,826","185,271","9","6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","1,640","26,362","185,271","8.85","6.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","972","18,674","185,271","5.25","5.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","1,087","19,059","185,271","5.87","5.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","2,136","35,185","185,271","11.53","6.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","1,697","31,249","185,271","9.16","5.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","1,039","22,481","185,271","5.61","4.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","896","14,928","185,271","4.84","6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","988","17,442","185,271","5.33","5.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","686","12,548","185,271","3.7","5.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","672","11,316","185,271","3.63","5.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","West Midlands","Police Force Area","1041","16576","185271","5.62","6.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","West Midlands","Police Force Area","1228","21918","185271","6.63","5.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","1,011","61,178","53,152","19.02","1.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","792","48,392","53,152","14.9","1.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","1,116","47,383","53,152","21","2.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","877","36,439","53,152","16.5","2.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","536","35,642","53,152","10.08","1.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","373","41,564","53,152","7.02","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","295","39,304","53,152","5.55","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","202","33,230","53,152","3.8","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","128","20,479","53,152","2.41","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","104","13,184","53,152","1.96","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","51","9,653","53,152","0.96","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","50","6,321","53,152","0.94","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","West Yorkshire","Police Force Area","79","7353","53152","1.49","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","West Yorkshire","Police Force Area","111","11830","53152","2.09","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","21","4,356","8,448","2.49","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","42","4,178","8,448","4.97","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","28","4,952","8,448","3.31","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","33","5,726","8,448","3.91","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","48","5,465","8,448","5.68","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","30","4,653","8,448","3.55","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","47","5,844","8,448","5.56","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","46","6,322","8,448","5.45","0.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","22","3,072","8,448","2.6","0.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","29","2,405","8,448","3.43","1.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","19","1,488","8,448","2.25","1.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","9","940","8,448","1.07","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","Wiltshire","Police Force Area","17","1142","8448","2.01","1.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","Wiltshire","Police Force Area","33","1313","8448","3.91","2.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Mixed","ONS 2001 5+1","All","All - excluding BTP","Police Force Area","24,323","932,065","1,224,400","19.87","2.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed","ONS 2001 5+1","All","All - excluding BTP","Police Force Area","30,562","1,125,647","1,224,400","24.96","2.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Mixed","ONS 2001 5+1","All","All - excluding BTP","Police Force Area","42,287","1,409,802","1,224,400","34.54","3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Mixed","ONS 2001 5+1","All","All - excluding BTP","Police Force Area","41,090","1,284,197","1,224,400","33.56","3.2",""
